Id,Name,Platform_x,Publisher_x,Genre,ESRB_Rating,Platform_y,Publisher_y,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
53,Call of Duty: Modern Warfare 3,X360,Activision,Shooter,M,Wii,Activision,Infinity Ward,4.5,,,0.83,0.55,0.2,,0.08,2011.0
63,Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,M,X360,Activision,Infinity Ward,8.7,,,14.82,9.07,4.29,0.13,1.33,2011.0
63,Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,M,PS3,Activision,Infinity Ward,8.8,,,13.35,5.54,5.78,0.49,1.54,2011.0
63,Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,M,PC,Activision,Infinity Ward,8.0,,,1.71,0.41,0.99,,0.31,2011.0
63,Call of Duty: Modern Warfare 3,PS3,Activision,Shooter,M,Wii,Activision,Infinity Ward,4.5,,,0.83,0.55,0.2,,0.08,2011.0
54,Call of Duty: Black Ops,X360,Activision,Shooter,M,X360,Activision,Treyarch,8.8,,,14.74,9.76,3.73,0.11,1.14,2010.0
54,Call of Duty: Black Ops,X360,Activision,Shooter,M,PS3,Activision,Treyarch,8.7,,,12.67,6.01,4.4,0.48,1.78,2010.0
54,Call of Duty: Black Ops,X360,Activision,Shooter,M,PC,Activision,Treyarch,8.5,,,1.62,0.58,0.82,,0.23,2010.0
54,Call of Duty: Black Ops,X360,Activision,Shooter,M,Wii,Activision,Treyarch,7.5,,,1.37,0.8,0.46,,0.12,2010.0
54,Call of Duty: Black Ops,X360,Activision,Shooter,T,DS,Activision,n-Space,7.0,,,0.59,0.5,0.04,,0.04,2010.0
54,Call of Duty: Black Ops,X360,Activision,Shooter,M,XBL,Activision,Treyarch,8.8,,,,,,,,2011.0
54,Call of Duty: Black Ops,X360,Activision,Shooter,M,PSN,Activision,Treyarch,8.7,,,,,,,,2011.0
73,Call of Duty: Black Ops,PS3,Activision,Shooter,M,X360,Activision,Treyarch,8.8,,,14.74,9.76,3.73,0.11,1.14,2010.0
73,Call of Duty: Black Ops,PS3,Activision,Shooter,M,PS3,Activision,Treyarch,8.7,,,12.67,6.01,4.4,0.48,1.78,2010.0
73,Call of Duty: Black Ops,PS3,Activision,Shooter,M,PC,Activision,Treyarch,8.5,,,1.62,0.58,0.82,,0.23,2010.0
